slug,ine,ine_idescat,municipality,comarca
ginestar,43067,430672,Ginestar,Ribera d'Ebre
godall,43068,430688,Godall,Montsià
golmes,25099,250997,Golmés,Pla d'Urgell
gombren,17080,170806,Gombrèn,Ripollès
gosol,25100,251001,Gósol,Berguedà
granadella,25101,251018,"Granadella, la",Garrigues
granja-escarp,25102,251023,"Granja d'Escarp, la",Segrià
granyanella,25103,251039,Granyanella,Segarra
granyena-garrigues,25105,251057,Granyena de les Garrigues,Garrigues
granyena-segarra,25104,251044,Granyena de Segarra,Segarra
gratallops,43069,430691,Gratallops,Priorat
gualta,17081,170813,Gualta,Baix Empordà
guiamets,43070,430705,"Guiamets, els",Priorat
guils-cerdanya,17082,170828,Guils de Cerdanya,Cerdanya
guimera,25109,251095,Guimerà,Urgell
guingueta-aneu,25903,259031,"Guingueta d'Àneu, la",Pallars Sobirà
guissona,25110,251109,Guissona,Segarra
guixers,25111,251116,Guixers,Solsonès
horta-sant-joan,43071,430712,Horta de Sant Joan,Terra Alta
hospitalet-llobregat,08101,081017,"Hospitalet de Llobregat, l'",Barcelonès
hostalric,17083,170834,Hostalric,Selva
isona-i-conca-della,25115,251155,Isona i Conca Dellà,Pallars Jussà
isovol,17084,170849,Isòvol,Cerdanya
ivars-noguera,25112,251121,Ivars de Noguera,Noguera
ivars-urgell,25113,251137,Ivars d'Urgell,Pla d'Urgell
ivorra,25114,251142,Ivorra,Segarra
jafre,17085,170852,Jafre,Baix Empordà
jonquera,17086,170865,"Jonquera, la",Alt Empordà
josa-i-tuixen,25910,259101,Josa i Tuixén,Alt Urgell
juia,17087,170871,Juià,Gironès
juncosa,25118,251180,Juncosa,Garrigues
juneda,25119,251193,Juneda,Garrigues
les,25121,251214,Les,Aran
linyola,25122,251229,Linyola,Pla d'Urgell
llado,17088,170887,Lladó,Alt Empordà
lladorre,25123,251235,Lladorre,Pallars Sobirà
lladurs,25124,251240,Lladurs,Solsonès
llagostera,17089,170890,Llagostera,Gironès
llambilles,17090,170904,Llambilles,Gironès
llanars,17091,170911,Llanars,Ripollès
llanca,17092,170926,Llançà,Alt Empordà
